ine_id,name
1609,Viana do Castelo
1610,Vila Nova de Cerveira
1701,Alijó
1702,Boticas
1703,Chaves
1704,Mesão Frio
1705,Mondim de Basto
1706,Montalegre
1707,Murça
1708,Peso da Régua
1709,Ribeira de Pena
1710,Sabrosa
1711,Santa Marta de Penaguião
1712,Valpaços
1713,Vila Pouca de Aguiar
1714,Vila Real
1801,Armamar
1802,Carregal do Sal
1803,Castro Daire
1804,Cinfães
1805,Lamego
1806,Mangualde
1807,Moimenta da Beira
1808,Mortágua
1809,Nelas
1810,Oliveira de Frades
1811,Penalva do Castelo
1812,Penedono
1813,Resende
1814,Santa Comba Dão
1815,São João da Pesqueira
1816,São Pedro do Sul
1817,Sátão
1818,Sernancelhe
1819,Tabuaço
1820,Tarouca
1821,Tondela
1822,Vila Nova de Paiva
1823,Viseu
1824,Vouzela
3101,Calheta
3102,Câmara de Lobos
3103,Funchal
3104,Machico
3105,Ponta do Sol
3106,Porto Moniz
3107,Ribeira Brava
3108,Santa Cruz
3109,Santana
3110,São Vicente
3201,Porto Santo
4101,Vila do Porto
4201,Lagoa
4202,Nordeste
4203,Ponta Delgada
4204,Povoação
4205,Ribeira Grande
4206,Vila Franca do Campo
4301,Angra do Heroísmo
4302,Vila da Praia da Vitória
4401,Santa Cruz da Graciosa
4501,Calheta
4502,Velas
4601,Lajes do Pico
4602,Madalena
4603,São Roque do Pico
4701,Horta
4801,Lajes das Flores
4802,Santa Cruz das Flores
4901,Corvo
